Transaction_ID,Transaction_Date,Customer_ID,Store_ID,Employee_ID,Product_Id,Quantity_Sold,Payment_Method,Unit_Price,Discount_Amount,Total_sale_amount,Sales_Tax,Revenue
T00033,01-03-2023 00:00,CUST069,ST1004,EMP043,PROD074,3,Credit Card,77219.89,7721.989,23165.967,4169.87406,27335.84106
T00034,01-03-2023 00:00,CUST015,ST1005,EMP036,PROD059,2,Credit Card,57999.92,5799.992,11599.984,2087.99712,13687.98112
T00035,01-03-2023 00:00,CUST031,ST1004,EMP076,PROD002,1,Credit Card,56938.25,5693.825,5693.825,1024.8885,6718.7135
T00036,01-03-2023 00:00,CUST049,ST1004,EMP070,PROD022,1,Debit Card,28471.74,2847.174,2847.174,512.49132,3359.66532
T00037,01-03-2023 00:00,CUST010,ST1003,EMP059,PROD028,2,Credit Card,18939.32,1893.932,3787.864,681.81552,4469.67952
T00038,01-03-2023 00:00,CUST036,ST1004,EMP033,PROD049,1,Cash,17788.31,1778.831,1778.831,320.18958,2099.02058
T00039,01-03-2023 00:00,CUST055,ST1005,EMP085,PROD079,4,Debit Card,71685.15,7168.515,28674.06,5161.3308,33835.3908
T00040,01-03-2023 00:00,CUST030,ST1005,EMP085,PROD078,4,Debit Card,28459.94,2845.994,11383.976,2049.11568,13433.09168
T00041,01-03-2023 00:00,CUST049,ST1002,EMP019,PROD016,4,Debit Card,29542.21,2954.221,11816.884,2127.03912,13943.92312
T00042,01-03-2023 00:00,CUST015,ST1005,EMP037,PROD014,3,Debit Card,17380.67,1738.067,5214.201,938.55618,6152.75718
T00043,01-03-2023 00:00,CUST060,ST1005,EMP087,PROD088,1,Debit Card,44655.88,4465.588,4465.588,803.80584,5269.39384
T00044,01-03-2023 00:00,CUST098,ST1001,EMP043,PROD042,4,Cash,77065.06,7706.506,30826.024,5548.68432,36374.70832
T00045,01-03-2023 00:00,CUST013,ST1002,EMP052,PROD004,4,UPI,81498.93,8149.893,32599.572,5867.92296,38467.49496
T00046,01-03-2023 00:00,CUST007,ST1002,EMP016,PROD043,3,UPI,31752.56,3175.256,9525.768,1714.63824,11240.40624
T00047,01-03-2023 00:00,CUST034,ST1004,EMP086,PROD039,4,Credit Card,1315.78,131.578,526.312,94.73616,621.04816
T00048,01-03-2023 00:00,CUST007,ST1001,EMP096,PROD001,2,UPI,51751.88,5175.188,10350.376,1863.06768,12213.44368
T00049,01-03-2023 00:00,CUST092,ST1003,EMP030,PROD003,4,Debit Card,55795.13,5579.513,22318.052,4017.24936,26335.30136
T00050,01-03-2023 00:00,CUST068,ST1001,EMP032,PROD030,4,Credit Card,72383.01,7238.301,28953.204,5211.57672,34164.78072
T00051,01-03-2023 00:00,CUST088,ST1001,EMP042,PROD017,1,Cash,97466.27,9746.627,9746.627,1754.39286,11501.01986
T00052,01-03-2023 00:00,CUST093,ST1001,EMP056,PROD003,4,Cash,55795.13,5579.513,22318.052,4017.24936,26335.30136
T00053,01-03-2023 00:00,CUST062,ST1002,EMP024,PROD043,2,UPI,31752.56,3175.256,6350.512,1143.09216,7493.60416
T00054,01-03-2023 00:00,CUST039,ST1005,EMP090,PROD089,4,Credit Card,67202.07,6720.207,26880.828,4838.54904,31719.37704
T00055,01-03-2023 00:00,CUST048,ST1002,EMP008,PROD090,5,Cash,69771.93,6977.193,34885.965,6279.4737,41165.4387
T00056,01-03-2023 00:00,CUST020,ST1004,EMP034,PROD048,2,Cash,29332.36,2933.236,5866.472,1055.96496,6922.43696
T00057,01-03-2023 00:00,CUST042,ST1002,EMP031,PROD049,2,Cash,17788.31,1778.831,3557.662,640.37916,4198.04116
T00058,01-03-2023 00:00,CUST085,ST1001,EMP009,PROD056,3,Credit Card,40181.84,4018.184,12054.552,2169.81936,14224.37136
T00059,01-03-2023 00:00,CUST079,ST1001,EMP029,PROD050,4,Debit Card,58400.74,5840.074,23360.296,4204.85328,27565.14928
T00060,01-03-2023 00:00,CUST029,ST1003,EMP028,PROD081,1,Debit Card,27755.57,2775.557,2775.557,499.60026,3275.15726
T00061,01-03-2023 00:00,CUST063,ST1001,EMP002,PROD006,4,UPI,7157.07,715.707,2862.828,515.30904,3378.13704
T00062,01-03-2023 00:00,CUST015,ST1005,EMP069,PROD074,5,UPI,77219.89,7721.989,38609.945,6949.7901,45559.7351
T00063,01-03-2023 00:00,CUST048,ST1001,EMP095,PROD030,3,Credit Card,72383.01,7238.301,21714.903,3908.68254,25623.58554
T00064,01-03-2023 00:00,CUST041,ST1002,EMP031,PROD044,3,Debit Card,50949.15,5094.915,15284.745,2751.2541,18035.9991
T00065,01-03-2023 00:00,CUST019,ST1005,EMP064,PROD019,1,UPI,57587.74,5758.774,5758.774,1036.57932,6795.35332
T00066,01-03-2023 00:00,CUST063,ST1003,EMP022,PROD081,2,Credit Card,27755.57,2775.557,5551.114,999.20052,6550.31452
T00067,01-03-2023 00:00,CUST049,ST1005,EMP042,PROD043,4,Cash,31752.56,3175.256,12701.024,2286.18432,14987.20832
T00068,01-03-2023 00:00,CUST004,ST1003,EMP006,PROD014,1,Credit Card,17380.67,1738.067,1738.067,312.85206,2050.91906
T00069,01-03-2023 00:00,CUST020,ST1001,EMP007,PROD038,2,Cash,31309.69,3130.969,6261.938,1127.14884,7389.08684
T00070,01-03-2023 00:00,CUST086,ST1004,EMP026,PROD035,3,UPI,38805.77,3880.577,11641.731,2095.51158,13737.24258
T00071,01-03-2023 00:00,CUST024,ST1002,EMP091,PROD067,1,Cash,55486.21,5548.621,5548.621,998.75178,6547.37278
T00072,01-03-2023 00:00,CUST025,ST1005,EMP074,PROD076,5,Cash,85234.31,8523.431,42617.155,7671.0879,50288.2429
T00073,01-03-2023 00:00,CUST097,ST1005,EMP090,PROD088,2,Credit Card,44655.88,4465.588,8931.176,1607.61168,10538.78768
T00074,01-03-2023 00:00,CUST027,ST1002,EMP063,PROD065,1,UPI,71981.66,7198.166,7198.166,1295.66988,8493.83588
T00075,01-03-2023 00:00,CUST060,ST1001,EMP014,PROD029,4,UPI,64463.78,6446.378,25785.512,4641.39216,30426.90416
T00076,01-03-2023 00:00,CUST022,ST1005,EMP002,PROD086,5,Debit Card,54220.87,5422.087,27110.435,4879.8783,31990.3133
T00077,01-03-2023 00:00,CUST089,ST1005,EMP029,PROD058,2,UPI,80398.86,8039.886,16079.772,2894.35896,18974.13096
T00078,01-03-2023 00:00,CUST091,ST1005,EMP049,PROD021,2,UPI,64442.81,6444.281,12888.562,2319.94116,15208.50316
T00079,01-03-2023 00:00,CUST009,ST1002,EMP086,PROD002,4,UPI,56938.25,5693.825,22775.3,4099.554,26874.854
T00080,01-03-2023 00:00,CUST021,ST1004,EMP058,PROD090,5,Debit Card,69771.93,6977.193,34885.965,6279.4737,41165.4387
T00081,01-03-2023 00:00,CUST031,ST1001,EMP091,PROD008,5,Credit Card,42730.91,4273.091,21365.455,3845.7819,25211.2369
T00082,01-03-2023 00:00,CUST078,ST1001,EMP059,PROD078,5,UPI,28459.94,2845.994,14229.97,2561.3946,16791.3646
T00083,01-03-2023 00:00,CUST047,ST1002,EMP040,PROD070,3,Debit Card,50020.15,5002.015,15006.045,2701.0881,17707.1331
T00084,01-03-2023 00:00,CUST021,ST1003,EMP080,PROD056,1,Debit Card,40181.84,4018.184,4018.184,723.27312,4741.45712
T00085,01-03-2023 00:00,CUST053,ST1002,EMP058,PROD006,3,Credit Card,7157.07,715.707,2147.121,386.48178,2533.60278
T00086,01-03-2023 00:00,CUST004,ST1002,EMP065,PROD004,1,Credit Card,81498.93,8149.893,8149.893,1466.98074,9616.87374
T00087,01-03-2023 00:00,CUST066,ST1001,EMP071,PROD006,3,UPI,7157.07,715.707,2147.121,386.48178,2533.60278
T00088,01-03-2023 00:00,CUST076,ST1002,EMP024,PROD051,5,Debit Card,64826.93,6482.693,32413.465,5834.4237,38247.8887
T00089,01-03-2023 00:00,CUST099,ST1002,EMP039,PROD059,1,Debit Card,57999.92,5799.992,5799.992,1043.99856,6843.99056
T00090,01-03-2023 00:00,CUST013,ST1005,EMP015,PROD011,2,Cash,75708.51,7570.851,15141.702,2725.50636,17867.20836
T00091,01-03-2023 00:00,CUST076,ST1005,EMP025,PROD045,5,UPI,51971.38,5197.138,25985.69,4677.4242,30663.1142
T00092,01-03-2023 00:00,CUST051,ST1005,EMP029,PROD099,4,Cash,42708.88,4270.888,17083.552,3075.03936,20158.59136
T00093,01-03-2023 00:00,CUST013,ST1005,EMP022,PROD053,5,Cash,32372.28,3237.228,16186.14,2913.5052,19099.6452
T00094,01-03-2023 00:00,CUST001,ST1001,EMP076,PROD002,3,Credit Card,56938.25,5693.825,17081.475,3074.6655,20156.1405
T00095,01-03-2023 00:00,CUST052,ST1003,EMP036,PROD072,3,Cash,21865.97,2186.597,6559.791,1180.76238,7740.55338
T00096,01-03-2023 00:00,CUST054,ST1005,EMP049,PROD070,2,Credit Card,50020.15,5002.015,10004.03,1800.7254,11804.7554
T00097,01-03-2023 00:00,CUST092,ST1003,EMP018,PROD075,2,Cash,5122.51,512.251,1024.502,184.41036,1208.91236
T00098,01-03-2023 00:00,CUST076,ST1003,EMP094,PROD050,2,Credit Card,58400.74,5840.074,11680.148,2102.42664,13782.57464
T00099,01-03-2023 00:00,CUST093,ST1004,EMP051,PROD005,1,UPI,5930.16,593.016,593.016,106.74288,699.75888
T00100,01-03-2023 00:00,CUST094,ST1002,EMP025,PROD035,1,Debit Card,38805.77,3880.577,3880.577,698.50386,4579.08086
T00101,01-03-2023 00:00,CUST050,ST1003,EMP065,PROD012,5,Cash,98283.41,9828.341,49141.705,8845.5069,57987.2119
T00102,01-03-2023 00:00,CUST004,ST1003,EMP010,PROD044,4,Debit Card,50949.15,5094.915,20379.66,3668.3388,24047.9988
T00103,01-03-2023 00:00,CUST038,ST1001,EMP047,PROD036,5,Debit Card,56076.35,5607.635,28038.175,5046.8715,33085.0465
T00104,01-03-2023 00:00,CUST094,ST1002,EMP056,PROD060,3,Debit Card,55764.61,5576.461,16729.383,3011.28894,19740.67194
T00105,01-03-2023 00:00,CUST074,ST1002,EMP018,PROD023,3,Credit Card,27933.22,2793.322,8379.966,1508.39388,9888.35988
T00106,01-03-2023 00:00,CUST069,ST1001,EMP017,PROD019,2,UPI,57587.74,5758.774,11517.548,2073.15864,13590.70664
T00107,01-03-2023 00:00,CUST094,ST1005,EMP048,PROD045,5,UPI,51971.38,5197.138,25985.69,4677.4242,30663.1142
T00108,01-03-2023 00:00,CUST090,ST1003,EMP047,PROD083,1,UPI,63623.04,6362.304,6362.304,1145.21472,7507.51872
T00109,01-03-2023 00:00,CUST027,ST1005,EMP040,PROD021,5,Cash,64442.81,6444.281,32221.405,5799.8529,38021.2579
T00110,01-03-2023 00:00,CUST099,ST1001,EMP056,PROD005,1,Debit Card,5930.16,593.016,593.016,106.74288,699.75888
T00111,01-03-2023 00:00,CUST063,ST1003,EMP008,PROD099,5,UPI,42708.88,4270.888,21354.44,3843.7992,25198.2392
T00112,01-03-2023 00:00,CUST045,ST1003,EMP004,PROD089,2,Credit Card,67202.07,6720.207,13440.414,2419.27452,15859.68852
T00113,01-03-2023 00:00,CUST047,ST1004,EMP007,PROD003,4,UPI,55795.13,5579.513,22318.052,4017.24936,26335.30136
T00114,01-03-2023 00:00,CUST089,ST1003,EMP082,PROD018,4,Debit Card,77058.65,7705.865,30823.46,5548.2228,36371.6828
T00115,01-03-2023 00:00,CUST060,ST1002,EMP070,PROD034,4,UPI,34450.28,3445.028,13780.112,2480.42016,16260.53216
T00116,01-03-2023 00:00,CUST077,ST1001,EMP022,PROD060,4,Cash,55764.61,5576.461,22305.844,4015.05192,26320.89592
T00117,01-03-2023 00:00,CUST022,ST1005,EMP031,PROD032,1,UPI,15369.14,1536.914,1536.914,276.64452,1813.55852
T00118,01-03-2023 00:00,CUST045,ST1003,EMP083,PROD078,5,Credit Card,28459.94,2845.994,14229.97,2561.3946,16791.3646
T00119,01-03-2023 00:00,CUST026,ST1005,EMP008,PROD005,4,Credit Card,5930.16,593.016,2372.064,426.97152,2799.03552
T00120,01-03-2023 00:00,CUST034,ST1004,EMP083,PROD067,2,UPI,55486.21,5548.621,11097.242,1997.50356,13094.74556
T00121,01-03-2023 00:00,CUST087,ST1003,EMP090,PROD039,1,Debit Card,1315.78,131.578,131.578,23.68404,155.26204
T00122,01-03-2023 00:00,CUST057,ST1004,EMP045,PROD051,3,Credit Card,64826.93,6482.693,19448.079,3500.65422,22948.73322
T00123,01-03-2023 00:00,CUST030,ST1001,EMP078,PROD096,5,Debit Card,81437.9,8143.79,40718.95,7329.411,48048.361
T00124,01-03-2023 00:00,CUST066,ST1002,EMP035,PROD037,2,Credit Card,42211.96,4221.196,8442.392,1519.63056,9962.02256
T00125,01-03-2023 00:00,CUST048,ST1003,EMP100,PROD057,2,Cash,42819.16,4281.916,8563.832,1541.48976,10105.32176
T00126,01-03-2023 00:00,CUST051,ST1002,EMP065,PROD074,3,Credit Card,77219.89,7721.989,23165.967,4169.87406,27335.84106
T00127,01-03-2023 00:00,CUST095,ST1003,EMP075,PROD008,3,Cash,42730.91,4273.091,12819.273,2307.46914,15126.74214
T00128,01-03-2023 00:00,CUST002,ST1004,EMP068,PROD054,4,Debit Card,43905.19,4390.519,17562.076,3161.17368,20723.24968
T00129,01-03-2023 00:00,CUST034,ST1003,EMP067,PROD042,5,Debit Card,77065.06,7706.506,38532.53,6935.8554,45468.3854
T00130,01-03-2023 00:00,CUST071,ST1004,EMP076,PROD008,2,Cash,42730.91,4273.091,8546.182,1538.31276,10084.49476
T00131,01-03-2023 00:00,CUST088,ST1005,EMP033,PROD041,1,UPI,32259.26,3225.926,3225.926,580.66668,3806.59268
T00132,01-03-2023 00:00,CUST079,ST1003,EMP013,PROD090,5,Debit Card,69771.93,6977.193,34885.965,6279.4737,41165.4387
T00133,01-03-2023 00:00,CUST056,ST1001,EMP066,PROD035,1,Cash,38805.77,3880.577,3880.577,698.50386,4579.08086
T00134,01-03-2023 00:00,CUST083,ST1003,EMP009,PROD088,1,UPI,44655.88,4465.588,4465.588,803.80584,5269.39384
T00135,01-03-2023 00:00,CUST017,ST1003,EMP098,PROD002,5,UPI,56938.25,5693.825,28469.125,5124.4425,33593.5675
T00136,01-03-2023 00:00,CUST044,ST1005,EMP003,PROD080,1,Debit Card,61297.37,6129.737,6129.737,1103.35266,7233.08966
T00137,01-03-2023 00:00,CUST026,ST1002,EMP056,PROD006,5,Debit Card,7157.07,715.707,3578.535,644.1363,4222.6713
T00138,01-03-2023 00:00,CUST084,ST1004,EMP006,PROD095,1,Credit Card,990.62,99.062,99.062,17.83116,116.89316
T00139,01-03-2023 00:00,CUST064,ST1001,EMP073,PROD073,4,Debit Card,88041.68,8804.168,35216.672,6339.00096,41555.67296
T00140,01-03-2023 00:00,CUST025,ST1004,EMP071,PROD097,5,Credit Card,33221.44,3322.144,16610.72,2989.9296,19600.6496
T00141,01-03-2023 00:00,CUST037,ST1003,EMP041,PROD032,2,UPI,15369.14,1536.914,3073.828,553.28904,3627.11704
T00142,01-03-2023 00:00,CUST093,ST1001,EMP074,PROD090,4,Cash,69771.93,6977.193,27908.772,5023.57896,32932.35096
T00143,01-03-2023 00:00,CUST031,ST1003,EMP084,PROD031,2,Cash,71935.45,7193.545,14387.09,2589.6762,16976.7662
T00144,01-03-2023 00:00,CUST092,ST1003,EMP044,PROD026,1,Debit Card,39048.54,3904.854,3904.854,702.87372,4607.72772
T00145,01-03-2023 00:00,CUST024,ST1002,EMP031,PROD047,5,Debit Card,40062.86,4006.286,20031.43,3605.6574,23637.0874
T00146,01-03-2023 00:00,CUST045,ST1004,EMP060,PROD044,5,Debit Card,50949.15,5094.915,25474.575,4585.4235,30059.9985
T00147,01-03-2023 00:00,CUST079,ST1003,EMP085,PROD008,3,Cash,42730.91,4273.091,12819.273,2307.46914,15126.74214
T00148,01-03-2023 00:00,CUST027,ST1005,EMP064,PROD012,2,Credit Card,98283.41,9828.341,19656.682,3538.20276,23194.88476
T00149,01-03-2023 00:00,CUST093,ST1005,EMP054,PROD092,5,Cash,35173.79,3517.379,17586.895,3165.6411,20752.5361
T00150,01-03-2023 00:00,CUST023,ST1004,EMP074,PROD056,4,Cash,40181.84,4018.184,16072.736,2893.09248,18965.82848
T00151,01-03-2023 00:00,CUST095,ST1005,EMP001,PROD041,3,Debit Card,32259.26,3225.926,9677.778,1742.00004,11419.77804
T00152,01-03-2023 00:00,CUST077,ST1004,EMP088,PROD045,5,Credit Card,51971.38,5197.138,25985.69,4677.4242,30663.1142
T00153,01-03-2023 00:00,CUST019,ST1005,EMP064,PROD032,1,Credit Card,15369.14,1536.914,1536.914,276.64452,1813.55852
T00154,01-03-2023 00:00,CUST059,ST1001,EMP079,PROD038,3,Cash,31309.69,3130.969,9392.907,1690.72326,11083.63026
T00155,01-03-2023 00:00,CUST001,ST1005,EMP028,PROD063,1,Cash,49758.7,4975.87,4975.87,895.6566,5871.5266
T00156,01-03-2023 00:00,CUST029,ST1002,EMP032,PROD001,3,Credit Card,51751.88,5175.188,15525.564,2794.60152,18320.16552
T00157,01-03-2023 00:00,CUST022,ST1002,EMP060,PROD091,5,UPI,13208.38,1320.838,6604.19,1188.7542,7792.9442
T00158,01-03-2023 00:00,CUST011,ST1005,EMP094,PROD073,5,UPI,88041.68,8804.168,44020.84,7923.7512,51944.5912
T00159,01-03-2023 00:00,CUST071,ST1004,EMP066,PROD069,2,Cash,33717.16,3371.716,6743.432,1213.81776,7957.24976
T00160,01-03-2023 00:00,CUST093,ST1002,EMP069,PROD033,3,Cash,30260.76,3026.076,9078.228,1634.08104,10712.30904
T00161,01-03-2023 00:00,CUST074,ST1002,EMP065,PROD062,5,UPI,60747.06,6074.706,30373.53,5467.2354,35840.7654
T00162,01-03-2023 00:00,CUST015,ST1002,EMP098,PROD089,5,Debit Card,67202.07,6720.207,33601.035,6048.1863,39649.2213
T00163,01-03-2023 00:00,CUST006,ST1002,EMP069,PROD088,5,Credit Card,44655.88,4465.588,22327.94,4019.0292,26346.9692
T00164,01-03-2023 00:00,CUST063,ST1002,EMP044,PROD098,2,Debit Card,85268.7,8526.87,17053.74,3069.6732,20123.4132
T00165,01-03-2023 00:00,CUST042,ST1003,EMP034,PROD086,2,Debit Card,54220.87,5422.087,10844.174,1951.95132,12796.12532
T00166,01-03-2023 00:00,CUST059,ST1005,EMP006,PROD098,1,UPI,85268.7,8526.87,8526.87,1534.8366,10061.7066
T00167,01-03-2023 00:00,CUST034,ST1004,EMP022,PROD065,5,Debit Card,71981.66,7198.166,35990.83,6478.3494,42469.1794
T00168,01-03-2023 00:00,CUST020,ST1003,EMP073,PROD070,4,Credit Card,50020.15,5002.015,20008.06,3601.4508,23609.5108
T00169,01-03-2023 00:00,CUST020,ST1003,EMP021,PROD048,4,Debit Card,29332.36,2933.236,11732.944,2111.92992,13844.87392
T00170,01-03-2023 00:00,CUST050,ST1001,EMP058,PROD048,1,UPI,29332.36,2933.236,2933.236,527.98248,3461.21848
T00171,01-03-2023 00:00,CUST046,ST1002,EMP089,PROD042,1,UPI,77065.06,7706.506,7706.506,1387.17108,9093.67708
T00172,01-03-2023 00:00,CUST033,ST1004,EMP025,PROD031,1,UPI,71935.45,7193.545,7193.545,1294.8381,8488.3831
T00173,01-03-2023 00:00,CUST100,ST1004,EMP039,PROD062,4,Cash,60747.06,6074.706,24298.824,4373.78832,28672.61232
T00174,01-03-2023 00:00,CUST004,ST1003,EMP007,PROD006,2,Cash,7157.07,715.707,1431.414,257.65452,1689.06852
T00175,01-03-2023 00:00,CUST037,ST1003,EMP019,PROD058,4,UPI,80398.86,8039.886,32159.544,5788.71792,37948.26192
T00176,01-03-2023 00:00,CUST018,ST1005,EMP080,PROD053,5,Debit Card,32372.28,3237.228,16186.14,2913.5052,19099.6452
T00177,01-03-2023 00:00,CUST083,ST1003,EMP058,PROD024,2,Credit Card,54730.89,5473.089,10946.178,1970.31204,12916.49004
T00178,01-03-2023 00:00,CUST006,ST1004,EMP099,PROD078,4,Cash,28459.94,2845.994,11383.976,2049.11568,13433.09168
T00179,01-03-2023 00:00,CUST041,ST1001,EMP019,PROD002,1,UPI,56938.25,5693.825,5693.825,1024.8885,6718.7135
T00180,01-03-2023 00:00,CUST098,ST1004,EMP016,PROD021,2,Credit Card,64442.81,6444.281,12888.562,2319.94116,15208.50316
T00181,01-03-2023 00:00,CUST040,ST1003,EMP090,PROD049,4,UPI,17788.31,1778.831,7115.324,1280.75832,8396.08232
T00182,01-03-2023 00:00,CUST066,ST1003,EMP075,PROD100,4,Debit Card,11566.48,1156.648,4626.592,832.78656,5459.37856
T00183,01-03-2023 00:00,CUST020,ST1004,EMP080,PROD093,4,UPI,89960.74,8996.074,35984.296,6477.17328,42461.46928
T00184,01-03-2023 00:00,CUST088,ST1004,EMP048,PROD013,3,Cash,33975.46,3397.546,10192.638,1834.67484,12027.31284
T00185,01-03-2023 00:00,CUST031,ST1005,EMP063,PROD092,2,Debit Card,35173.79,3517.379,7034.758,1266.25644,8301.01444
T00186,01-03-2023 00:00,CUST013,ST1001,EMP052,PROD073,2,UPI,88041.68,8804.168,17608.336,3169.50048,20777.83648
T00187,01-03-2023 00:00,CUST040,ST1002,EMP036,PROD061,5,Credit Card,94613.24,9461.324,47306.62,8515.1916,55821.8116
T00188,01-03-2023 00:00,CUST041,ST1001,EMP070,PROD017,3,Debit Card,97466.27,9746.627,29239.881,5263.17858,34503.05958
T00189,01-03-2023 00:00,CUST057,ST1004,EMP033,PROD014,5,Cash,17380.67,1738.067,8690.335,1564.2603,10254.5953
T00190,01-03-2023 00:00,CUST018,ST1002,EMP004,PROD043,4,Debit Card,31752.56,3175.256,12701.024,2286.18432,14987.20832
T00191,01-03-2023 00:00,CUST005,ST1001,EMP072,PROD045,1,Credit Card,51971.38,5197.138,5197.138,935.48484,6132.62284
T00192,01-03-2023 00:00,CUST061,ST1004,EMP010,PROD062,4,Credit Card,60747.06,6074.706,24298.824,4373.78832,28672.61232
T00193,01-03-2023 00:00,CUST065,ST1002,EMP048,PROD039,4,Credit Card,1315.78,131.578,526.312,94.73616,621.04816
T00194,01-03-2023 00:00,CUST011,ST1003,EMP077,PROD096,2,UPI,81437.9,8143.79,16287.58,2931.7644,19219.3444
T00195,01-03-2023 00:00,CUST003,ST1003,EMP097,PROD085,4,Credit Card,70834.31,7083.431,28333.724,5100.07032,33433.79432
T00196,01-03-2023 00:00,CUST089,ST1004,EMP007,PROD075,5,Credit Card,5122.51,512.251,2561.255,461.0259,3022.2809
T00197,01-03-2023 00:00,CUST081,ST1002,EMP072,PROD087,5,Credit Card,86798.49,8679.849,43399.245,7811.8641,51211.1091
T00198,01-03-2023 00:00,CUST092,ST1005,EMP002,PROD018,3,Cash,77058.65,7705.865,23117.595,4161.1671,27278.7621
T00199,01-03-2023 00:00,CUST100,ST1002,EMP062,PROD005,5,UPI,5930.16,593.016,2965.08,533.7144,3498.7944
T00200,01-03-2023 00:00,CUST003,ST1005,EMP060,PROD093,3,Credit Card,89960.74,8996.074,26988.222,4857.87996,31846.10196
T00201,01-03-2023 00:00,CUST092,ST1004,EMP065,PROD089,3,UPI,67202.07,6720.207,20160.621,3628.91178,23789.53278
